区划代码    区县  地级市 省级  上级代码    历史代码    经度  纬度  电话区号    邮编  占地面积    人口总数    政府网址    政府地址
130527  南和县 邢台  河北  130500  *   114.68371   37.00488    0319    054400  405 37  http://www.nhxzf.gov.cn/    河北省邢台市南和县和阳大街285号
130528  宁晋县 邢台  河北  130500  *   114.92117   37.61696    0319    055550  1032    78  http://www.ningjin.gov.cn/  河北省邢台市宁晋县西关街31号
130529  巨鹿县 邢台  河北  130500  *   115.03524   37.21801    0319    055250  631 41  http://www.julu.gov.cn/ 河北省邢台市巨鹿县新华北街109号
130530  新河县 邢台  河北  130500  *   115.24987   37.52718    0319    051730  366 18  http://www.hebxinhe.gov.cn/ 河北省邢台市新河县
130531  广宗县 邢台  河北  130500  *   115.14254   37.0746 0319    054600  504 32  http://www.gzxzf.gov.cn/    河北省邢台市广宗县府前街33号
130532  平乡县 邢台  河北  130500  *   115.03002   37.06317    0319    054500  406 34  http://www.pxx.gov.cn/  河北省邢台市平乡县中华路186号
130533  威县  邢台  河北  130500  *   115.2637    36.9768 0319    054700  994 62  http://www.weixian.gov.cn/  河北省邢台市威县东街88号
130534  清河县 邢台  河北  130500  *   115.66479   37.07122    0319    054800  500 42  http://www.qinghexian.gov.cn/   河北省邢台市清河县
130535  临西县 邢台  河北  130500  *   115.50097   36.87078    0319    054900  542 38  http://www.linxi.gov.cn/    河北省邢台市临西县泰山路
130581  南宫市 邢台  河北  130500  *   115.39068   37.35799    0319    051800  861 49  http://www.nangong.gov.cn/  河北省邢台市南宫市东进大街8号
130582  沙河市 邢台  河北  130500  *   114.4981    36.8577 0319    054100  859 43  http://www.shaheshi.gov.cn/ 河北省邢台市沙河市太行街561号
130600  保定  保定  河北  130000  *   115.482331  38.867657   0312    071000  22136   1190    http://www.bd.gov.cn/   河北省保定市竞秀区东风西路1号
130602  竞秀区 保定  河北  130600  130602  115.4587    38.87751    0312    071000  139 49  http://www.bdxsq.gov.cn/    河北省保定市竞秀区五四西路318号
130606  莲池区 保定  河北  130600  130603|130604   115.49715   38.88322    0312    071000  173 69  *   河北省保定市莲池区七一中路789号
130607  满城区 保定  河北  130600  130621  115.32296   38.94972    0312    072150  630 40  http://www.mancheng.gov.cn/ 河北省保定市满城区中山西路1号
130608  清苑区 保定  河北  130600  130622  115.49267   38.76709    0312    071100  867 68  http://www.qyx.gov.cn/  河北省保定市清苑区迎宾中街301号
130609  徐水区 保定  河北  130600  130625  115.65829   39.02099    0312    072550  723 60  http://www.xushui.gov.cn/   河北省保定市徐水区永兴中路11号
130623  涞水县 保定  河北  130600  *   115.71517   39.39404    0312    074100  1658    36  http://www.laishui.gov.cn/  河北省保定市涞水县府前街112号
130624  阜平县 保定  河北  130600  *   114.19683   38.84763    0312    073200  2496    23  http://www.fpxzf.com/   河北省保定市阜平县北街69号
130626  定兴县 保定  河北  130600  *   115.80786   39.26312    0312    072650  714 60  http://www.dingxing.gov.cn/ 河北省保定市定兴县通兴东路120号
130627  唐县  保定  河北  130600  *   114.98516   38.74513    0312    072350  1417    60  http://www.tangxian.gov.cn/ 河北省保定市唐县光明路5号
130628  高阳县 保定  河北  130600  *   115.7788    38.70003    0312    071500  495 35  http://www.gaoyang.gov.cn/  河北省保定市高阳县正阳路66号
130629  容城县 保定  河北  130600  *   115.87158   39.0535 0312    071700  314 27  http://www.hbrc.gov.cn/ 河北省保定市容城县奥威路
130630  涞源县 保定  河北  130600  *   114.69128   39.35388    0312    074300  2448    29  http://www.laiyuan.gov.cn/  河北省保定市涞源县开源路29号
130631  望都县 保定  河北  130600  *   115.1567    38.70996    0312    072450  370 27  http://www.wdx.gov.cn/  河北省保定市望都县庆都西路
130632  安新县 保定  河北  130600  *   115.93557   38.93532    0312    071600  728 46  http://www.baiyangdian.gov.cn/  河北省保定市安新县育才路1号
130633  易县  保定  河北  130600  *   115.4981    39.34885    0312    074200  2534    58  http://www.yizhou.gov.cn/   河北省保定市易县朝阳西路23号
130634  曲阳县 保定  河北  130600  *   114.70123   38.62154    0312    073100  1084    63  http://www.hebquyang.gov.cn/    河北省保定市曲阳县恒山东路
130635  蠡县  保定  河北  130600  *   115.57717   38.48974    0312    071400  652 54  http://www.lixian.gov.cn/   河北省保定市蠡县范蠡东路15号
130636  顺平县 保定  河北  130600  *   115.1347    38.83854    0312    072250  711 32  http://www.shunping.gov.cn/ 河北省保定市顺平县平安东大街3号
130637  博野县 保定  河北  130600  *   115.47033   38.4564 0312    071300  331 27  http://www.boye.gov.cn/ 河北省保定市博野县博兴中路51号
130638  雄县  保定  河北  130600  *   116.10873   38.99442    0312    071800  514 39  http://www.xiongxian.gov.cn/    河北省保定市雄县雄州路481号
130681  涿州市 保定  河北  130600  *   115.98062   39.48622    0312    072750  751 66  http://www.zhuozhou.gov.cn/ 河北省保定市涿州市范阳西路115号
130682  定州市 保定  河北  130600  *   114.9902    38.51623    0312    073000  1283    123 http://www.dzs.gov.cn   河北省保定市定州市中山中路1号
130683  安国市 保定  河北  130600  *   115.32321   38.41391    0312    071200  486 42  http://www.anguo.gov.cn/    河北省保定市安国市祁州大路94号
130684  高碑店市    保定  河北  130600  *   115.87368   39.32655    0312    074000  618 57  http://www.gbd.gov.cn/  河北省保定市高碑店市迎宾西路18号
130700  张家口 张家口 河北  130000  *   114.884091  40.811901   0313    075000  36303   491 http://www.zjk.gov.cn/  河北省张家口市桥东区长城西大街9号
130702  桥东区 张家口 河北  130700  *   114.8943    40.78844    0313    075000  113 41  http://www.zjkqd.gov.cn/    河北省张家口市桥东区胜利中路31号
130703  桥西区 张家口 河北  130700  *   114.86962   40.81945    0313    075000  146 32  http://www.zjkqxq.gov.cn/   河北省张家口市桥西区南瓦南路37号
130705  宣化区 张家口 河北  130700  *   115.06543   40.60957    0313    075000  312 39  http://www.zjkxuanhua.gov.cn/   河北省张家口市宣化区永安街8号
130706  下花园区    张家口 河北  130700  *   115.28744   40.50236    0313    075300  315 7   http://www.zjkxhy.gov.cn/   河北省张家口市下花园区
130721  宣化县 张家口 河北  130700  *   115.15497   40.56618    0313    075100  2057    28  http://www.zjkxh.gov.cn/    河北省张家口市宣化县府城南大街
130722  张北县 张家口 河北  130700  *   114.71432   41.15977    0313    076450  3863    36  http://www.zjkzb.gov.cn/    河北省张家口市张北县政府路8号
130723  康保县 张家口 河北  130700  *   114.60031   41.85225    0313    076650  3365    28  http://www.zjkkb.gov.cn/    河北省张家口市康保县西环路
130724  沽源县 张家口 河北  130700  *   115.68859   41.66959    0313    076550  3388    22  http://www.zjkgy.gov.cn/    河北省张家口市沽源县桥西大街
130725  尚义县 张家口 河北  130700  *   113.97134   41.07782    0313    076750  2601    19  http://www.zjksy.gov.cn/    河北省张家口市尚义县平安西街21号
130726  蔚县  张家口 河北  130700  *   114.58892   39.84067    0313    075700  3220    50  http://www.zjkyx.gov.cn/    河北省张家口市蔚县人民路72号
130727  阳原县 张家口 河北  130700  *   114.15051   40.10361    0313    075800  1849    28  http://www.zjkyy.gov.cn/    河北省张家口市阳原县府前街
130728  怀安县 张家口 河北  130700  *   114.38559   40.67425    0313    076150  1698    25  http://www.zjkha.gov.cn/    河北省张家口市怀安县
130729  万全县 张家口 河北  130700  *   114.7405    40.76694    0313    076250  1162    22  http://www.zjkwq.gov.cn/    河北省张家口市万全县
130730  怀来县 张家口 河北  130700  *   115.51773   40.41536    0313    075400  1801    36  http://www.zjkhl.gov.cn/    河北省张家口市怀来县
130731  涿鹿县 张家口 河北  130700  *   115.22403   40.37636    0313    075600  2802    35  http://www.zjkzl.gov.cn/    河北省张家口市涿鹿县轩辕西路
130732  赤城县 张家口 河北  130700  *   115.83187   40.91438    0313    075500  5287    30  http://www.zjkcc.gov.cn/    河北省张家口市赤城县府安东街2号
130733  崇礼县 张家口 河北  130700  *   115.27993   40.97519    0313    076350  2324    13  http://www.zjkcl.gov.cn/    河北省张家口市崇礼县长青路30号
130800  承德  承德  河北  130000  *   117.939152  40.976204   0314    067000  39719   379 http://www.chengde.gov.cn/  河北省承德市双桥区
130802  双桥区 承德  河北  130800  *   117.9432    40.97466    0314    067000  667 38  http://www.sqq.gov.cn/  河北省承德市双桥区中华路6号
